,state,chart_id
0,Alaska,sMApc
0,Alabama,wKESI
0,Arkansas,GwTDO
0,Arizona,hoIeI
0,California,7WEQn
0,Colorado,9l8A5
0,Connecticut,3vn0o
0,Delaware,LLUV6
0,Florida,kAmjz
0,Georgia,bP8yY
0,Hawaii,6PX80
0,Iowa,Kem8k
0,Idaho,NRQO1
0,Illinois,YxvMT
0,Indiana,z9PVY
0,Kansas,lOLnY
0,Kentucky,0otri
0,Louisiana,OfMrQ
0,Massachusetts,7KtqL
0,Maryland,nCf9O
0,Maine,DHHSJ
0,Michigan,40972
0,Minnesota,yZxC9
0,Missouri,jbuTn
0,Mississippi,yL6xp
0,Montana,xFypt
0,North Carolina,esWFc
0,North Dakota,fSC8T
0,Nebraska,RXixu
0,New Hampshire,9bDhB
0,New Jersey,bMwT5
0,New Mexico,VhMds
0,Nevada,lh6J3
0,New York,mo3bN
0,Ohio,rMWnl
0,Oklahoma,2bgl0
0,Oregon,67Ny6
0,Pennsylvania,CMDBA
0,Rhode Island,lpPhm
0,South Carolina,K3qmI
0,South Dakota,W3FeR
0,Tennessee,w5RIu
0,Texas,kQi5e
0,Utah,d2ujW
0,Vermont,2TxT3
0,Wyoming,fQny6
0,West Virginia,zHMPh
0,Washington,4yUO7
0,Virginia,z6hj1
0,Wisconsin,Gp5hu